iter	Passed	Remaining
254	350	1022
255	350	1019
256	351	1015
257	352	1012
258	352	1009
259	353	1005
260	354	1002
261	354	998
262	355	995
263	355	992
264	356	989
265	357	985
266	357	982
267	358	979
268	359	976
269	359	972
270	360	969
271	361	966
272	361	963
273	362	960
274	363	958
275	364	956
276	365	953
277	365	950
278	366	947
279	367	944
280	368	941
281	368	938
282	369	935
283	369	932
284	370	929
285	371	926
286	371	923
287	372	921
288	373	918
289	373	915
290	374	912
291	375	909
292	375	907
293	376	904
294	377	902
295	379	901
296	380	899
297	380	897
298	381	895
299	383	894
300	384	891
301	384	889
302	385	886
303	386	884
304	387	882
305	387	879
306	388	877
307	389	875
308	390	873
309	391	870
310	391	868
311	393	867
312	394	865
313	395	863
314	396	861
315	396	858
316	397	856
317	398	854
318	398	851
319	399	848
320	400	846
321	400	843
322	401	841
323	402	839
324	402	836
325	403	834
326	404	831
327	404	829
328	405	827
329	406	824
330	406	822
331	408	821
332	409	819
333	410	817
334	410	815
335	411	813
336	412	810
337	412	808
338	413	806
339	414	804
340	414	801
341	415	799
342	416	797
343	416	794
344	417	792
345	418	790
346	418	788
347	419	785
348	420	783
349	420	781
350	421	779
351	421	776
352	423	775
353	424	773
354	424	771
355	425	769
356	426	767
357	427	765
358	427	763
359	428	761
360	429	759
361	430	758
362	431	756
363	432	754
364	432	753
365	433	751
366	434	749
367	435	747
368	436	746
369	437	745
370	439	744
371	440	743
372	440	741
373	441	739
374	442	737
375	442	735
376	443	733
377	444	731
378	444	729
379	445	727
380	446	725
381	446	723
382	447	721
383	448	718
384	448	716
385	449	715
386	450	712
387	450	710
388	451	709
389	452	707
390	453	706
391	454	704
392	455	702
393	455	701
394	456	699
395	457	697
396	458	695
397	458	694
398	459	692
399	460	690
400	460	688
401	461	686
402	462	684
403	462	682
404	463	681
405	464	679
406	464	677
407	465	675
408	466	673
409	467	672
410	468	671
411	469	669
412	469	667
413	470	666
414	471	664
415	471	662
416	472	660
417	473	659
418	473	657
419	474	655
420	475	653
421	475	651
422	476	650
423	477	648
424	477	646
425	478	644
426	479	642
427	479	641
428	480	639
429	480	637
430	481	635
431	482	634
432	484	633
433	484	632
434	485	630
435	486	629
436	487	628
437	488	627
438	489	625
439	490	623
440	490	622
441	491	620
442	492	619
443	493	617
444	494	616
445	494	614
446	495	613
447	496	612
448	497	611
449	498	609
450	499	608
451	500	606
452	501	605
453	502	603
454	502	602
455	503	600
456	504	599
457	504	597
458	505	595
459	506	594
460	507	592
461	507	591
462	508	589
463	509	588
464	509	586
465	510	584
466	511	584
467	513	583
468	514	582
469	515	581
470	516	580
471	517	578
472	518	577
473	519	576
474	519	574
475	520	572
476	521	571
477	521	569
478	522	568
479	522	566
480	523	564
481	524	563
482	524	561
483	525	560
484	526	559
485	528	558
486	528	557
